   ,CITYID,CITYNAME,CITYCODE,AREA,REGION
288,1036,JAMPUR,JMP,MUX,CENTRAL
289,1037,ALIPUR,AIP,MUX,CENTRAL
290,1038,LORA LAI,LRI,UET,SOUTH
291,1039,MEHAR,MHR,SKZ,SOUTH
292,1040,USTA MHMD,USM,SKZ,SOUTH
293,1042,UMERKOT,UKT,HDD,SOUTH
294,1043,KARAK,KRK,PEW,NORTH
295,1044,BAGH,BGH,RWP,NORTH
296,1045,YAZMAN MANDI,YZM,MUX,CENTRAL
297,1046,CHOWK AZAM,CAZ,MUX,CENTRAL
298,1047,HATTER,HTR,RWP,NORTH
299,1048,TANDO MOHD KHAN,TMK,HDD,SOUTH
300,1049,FATEH JANG,FTG,RWP,NORTH
301,1050,DARA ADM KHEL,DDK,PEW,NORTH
302,1051,GAWADAR,GWR,KHI,SOUTH
303,1052,KHANEWAL,KWL,MUX,CENTRAL
304,1054,DHODHAK,DOK,MUX,CENTRAL
305,1055,KHAIRPUR NATHAN,KNS,SKZ,SOUTH
306,1056,ISSA KHEL,IKL,FSD,CENTRAL
307,1057,JHAT PAT,JPT,SKZ,SOUTH
308,1058,KAMBAR ALI KHAN,KAK,SKZ,SOUTH
309,1059,THULL,THL,SKZ,SOUTH
310,1060,NAUDERO,NDR,SKZ,SOUTH
311,1061,PIRYALO,PYO,SKZ,SOUTH
312,1062,DARGAI,DRG,PEW,NORTH
313,1063,KOTLI-A.KASHMIR,KLY,RWP,NORTH
314,1064,ZHOB,ZOB,UET,SOUTH
315,1065,NOSHKI,NOK,UET,SOUTH
316,1066,GARI KHAIRO,GKR,SKZ,SOUTH
317,1067,FORTE ABBAS,FAB,MUX,CENTRAL
318,1068,TEMARGARAH,TMG,PEW,NORTH
319,1069,HUMAK,HMK,ISB,NORTH
320,1070,JHANIAN,JHN,MUX,CENTRAL
321,1071,ABDUL HAKIM,AHT,MUX,CENTRAL
322,1072,DEPAL PUR,DPA,MUX,CENTRAL
323,1073,MAILSI,MLT,MUX,CENTRAL
324,1074,SHORKOT,SQT,FSD,CENTRAL
325,1075,DADU,DDU,HDD,SOUTH
326,1076,GADOON AMAZAI,GDN,RWP,NORTH
327,1078,KAROR PAKKA,KPC,MUX,CENTRAL
328,1079,TURBAT,TUK,KHI,SOUTH
329,1080,KHUZDAR,UDR,UET,SOUTH
330,1081,CHAWINDA,CWD,GUJ,NORTH
331,1082,HAVELLIAN,HVL,RWP,NORTH
332,1083,KALA SHAH KAKU,KKU,LHE,CENTRAL
333,1084,LIAQUATPUR,LQR,SKZ,SOUTH
334,1085,SHAKAR GARH,SGR,GUJ,NORTH
335,1086,PATOKI,PTI,LHE,CENTRAL
336,1087,PAK PATTAN SHARIF,PPS,MUX,CENTRAL
337,1088,SAMANDRI,SAM,FSD,CENTRAL
338,1089,GILGIT,GIL,RWP,NORTH
339,1090,BHAKKAR,BKK,FSD,CENTRAL
340,1091,TANDO ALLAYAR,TDA,HDD,SOUTH
341,1092,CHENAB NAGAR,AWH,FSD,CENTRAL
342,1093,CHINIOT,IOT,FSD,CENTRAL
343,1094,THATTA,THT,HDD,SOUTH
344,1095,CHITRAL,CTL,PEW,NORTH
345,1096,KABIR WALA,KBB,MUX,CENTRAL
346,1097,LAHORE,LHE,LHE,CENTRAL
347,1098,MUCH,MUH,UET,SOUTH
348,1099,BARKHAN,BKH,UET,SOUTH
349,1100,OLE KHI,OKH,KHI,SOUTH
350,1101,OLE LHE,OLH,LHE,CENTRAL
351,1102,OLE RWP,ORW,RWP,NORTH
352,1103,SUI,SUI,SKZ,SOUTH
353,1104,KHARAN,KHR,UET,SOUTH
354,1105,SWABI,SWA,RWP,NORTH
355,1106,OKARA,OKR,MUX,CENTRAL
356,1107,NOWSHERA,NOW,PEW,NORTH
357,1108,NAWABSHAH,WNS,HDD,SOUTH
358,1109,MUZAFFARGARH,MZG,MUX,CENTRAL
359,1110,MUZAFFARABAD AK,MAK,RWP,NORTH
360,1111,VEHARI,VRI,MUX,CENTRAL
361,1112,TAXILA,TXL,RWP,NORTH
362,1113,WAH,WAH,RWP,NORTH
363,1114,TALAGANG,TLG,RWP,NORTH
364,1115,SHEIKHUPURA,SRA,LHE,CENTRAL
365,1116,SHIKARPUR,SIP,SKZ,SOUTH
366,1117,SAHIWAL,SWL,MUX,CENTRAL
367,1118,SADIQABAD,SDA,SKZ,SOUTH
368,1119,RAHIMYARKHAN,RYK,SKZ,SOUTH
369,1120,UCH SHARIF,UCH,MUX,CENTRAL
370,1121,AMINPUR BANGLOW,AMB,FSD,CENTRAL
371,1122,NAUSHEHRA,ERA,FSD,CENTRAL
372,1123,ADDA BUN BOSAN,BBA,MUX,CENTRAL
373,1124,RAJANA,RAJ,FSD,CENTRAL
374,1125,DIJKOT,DIJ,FSD,CENTRAL
375,1126,ADDA LAR,ALR,MUX,CENTRAL
376,1127,SANAWAN,SNW,MUX,CENTRAL
377,1128,SUJAWAL,SUJ,HDD,SOUTH
378,1129,BHIRIA CITY,BRC,HDD,SOUTH
379,1130,KANDYARO,KND,HDD,SOUTH
380,1131,CHACHRO,CHO,HDD,SOUTH
381,1132,HANGU,HNG,PEW,NORTH
382,1133,SHINKIARI,SNK,RWP,NORTH
383,1134,OGHI,OGI,RWP,NORTH
384,1135,LANDIKOTAL,LNK,PEW,NORTH
385,1136,AHMED PUR LAMMA,APL,SKZ,SOUTH
386,1137,DUNYA PUR,DUN,MUX,CENTRAL
387,1281,CHUNIA,CHN,LHE,CENTRAL
388,1301,PACCA CHANG,PCC,HDD,SOUTH
389,1321,GARHA MORR,GRM,MUX,CENTRAL
390,1322,KAMRA,KMA,RWP,NORTH
391,1323,MAKHDOOM PUR,MPD,MUX,CENTRAL
392,1324,MANAWALA,WLA,LHE,CENTRAL
393,1325,SHAHPUR,SAP,FSD,CENTRAL
394,1326,THARRI MIR WAH,TVH,SKZ,SOUTH
395,1341,GAHKUCH GHIZER,IHA,RWP,NORTH
396,1361,QILLA SAIFULLAH,KSF,UET,SOUTH
397,1381,TANGI,TNG,PEW,NORTH
398,1401,CHAKDARA,CRA,PEW,NORTH
399,1261,KALAR SYEDAN,KLS,RWP,NORTH
400,1242,Lower DIR,DRG,PEW,NORTH
401,1225,MALAKAND,DRG,PEW,NORTH
402,1207,KOTRI,HDD,HDD,SOUTH
403,1208,PETARO,HDD,HDD,SOUTH
404,1198,NEW SAEEDABAD,HLA,HDD,SOUTH
405,1213,JALAL PUR BHATTIAN,HZD,GUJ,NORTH
406,1221,QUAIDABAD,JRD,FSD,CENTRAL
407,1236,KHAIR PUR TAMIANWALI,KTW,MUX,CENTRAL
408,1240,SHAHDARA,LHE,LHE,CENTRAL
409,1241,KOT ABDUL MALIK,LHE,LHE,CENTRAL
410,1217,BATTGRAM,MNA,RWP,NULL
411,1205,MATIARI,MRI,HDD,SOUTH
412,1077,KHEWRA DANDOT,PDK,RWP,NORTH
413,1224,SAMBRIAL,SAL,GUJ,NORTH
414,1197,ROHRI,SKZ,SKZ,SOUTH
415,1223,MANDI FAIZ ABAD,SRA,LHE,CENTRAL
416,1196,SAIDU SHARIF,SWT,PEW,NORTH
417,1226,SHANGLA,SWT,SWT,NULL
418,1193,SWAT,SWT,PEW,NORTH
419,1201,NAUABAD,TDM,HDD,SOUTH
420,1235,CHOHAR JAMALI,THT,KHI,SOUTH
421,1422,AKORA KHATAK,AKT,PEW,North
422,1423,Dhanola,ANO,FSD,Central
423,1424,Amberi Kalla,ARI,PEW,North
424,1425,BISHAM,ASH,RWP,North
425,1426,AL Puri,AUI,PEW,North
426,1427,BAKRANI,BAK,SKZ,South
427,1428,BUCHEKI,BCK,FSD,Central
428,1429,BATGARAM,BGM,RWP,North
429,1430,KABAL,BLL,PEW,North
430,1431,Bari Kot,BOT,PEW,North
431,1432,QAIM BHARWANA,BQA,FSD,Central
432,1433,Chani Goth,CGT,MUX,Central
433,1434,Chamber,CHM,HDD,South
434,1435,Chillas Sherz,CLL,RWP,North
435,1437,Changa Manga,CMG,LHE,Central
436,1438,PARACHINAR,CRI,PEW,North
437,1439,CHUNDIKO,CUK,SKZ,South
438,1440,CHUNIAN,CUN,LHE,Central
439,1441,Miani Adda,DAM,RWP,North
440,1442,DHAMTAL,DAT,GUJ,North
441,1443,DADIYAL,DDL,LHE,Central
442,1444,DHADAR,DDR,UET,South
443,1445,SHAHEED CHOWK,DEE,PEW,North
444,1446,DHEERKOT,DHK,RWP,North
445,1447,DHORO NARO,DHN,HDD,South
446,1449,DIPLO,DLO,HDD,South
447,1450,Padidan,DNI,HDD,South
448,1451,Danyor,DNR,RWP,North
449,1452,DAROSH,DSH,PEW,North
450,1453,Daultala,DTA,RWP,North
451,1454,DAULATPUR,DTR,HDD,South
452,1456,AMBEERI KALA,EIR,PEW,North
453,1457,JAGLOT,EOA,RWP,North
454,1458,Faqir Wali,FQW,MUX,Central
455,1459,GAMBAT CITY,GBC,SKZ,South
456,1461,GF,GHT,KHI,South
457,1462,Ghalanay,GNY,PEW,North
458,1463,Khan Garh,GRH,MUX,Central
459,1464,HALANI CITY,HCY,SKZ,South
460,1465,HAFIZWALA,HFZ,FSD,Central
461,1466,HHH,HHH,MUX,Central
462,1467,Haveli Lakha,HKL,MUX,Central
463,1468,HEAD OFFICE,HOF,HOF,
464,1469,Harrapa,HRR,MUX,Central
465,1470,MIANI,IAM,FSD,Central
466,1471,TARAND SAWAI KH,IAW,SKZ,South
467,1472,Mongi Bangla,IBL,FSD,Central
468,1473,QASIM BELA,IEQ,MUX,Central
469,1474,Kohilu,IHU,UET,South
470,1475,Pharianwali,ILA,GUJ,North
471,1476,PAIKHEL,IPK,FSD,Central
472,1477,IQBALABAD,IQL,SKZ,South
473,1478,SARHARI,IRS,HDD,South
474,1480,Johi,JHI,HDD,South
475,1481,JAMSHORO,JMO,HDD,SOUTH
476,1482,JAND,JND,RWP,North
477,1483,JHOL,JYL,HDD,South
478,1484,Kalaskay,KAY,GUJ,North
479,1485,KUCHLAK,KCU,UET,South
480,1486,KAMEER,KER,MUX,Central
481,1487,KHI GEN HEAVY,KGH,KHI,South
482,1488,Head Office KHI,KHO,KHI,South
483,1489,KHI WAREHOUSE,KHW,KHW,South
484,1491,Kotla Jam,KJA,FSD,Central
485,1492,KAKUL,KKL,RWP,North
486,1494,KUNDIAN,KNN,FSD,Central
487,1495,KHONAZAI,KNZ,UET,South
488,1497,KANGAN PUR,KUP,LHE,Central
489,1498,NAKYAL,KYA,RWP,North
490,1499,DAJAL,LDJ,MUX,Central
491,1500,LUDDAN,LDN,MUX,Central
492,1501,LHE - GEN HEAVY,LGH,LHE,Central
493,1502,LHE-EAST,LHD,LHE,Central
494,1503,LHE-WEST,LHP,LHE,Central
495,1504,LHE-SOUTH,LHS,LHE,Central
496,1505,LHE WAREHOUSE,LHW,LHW,Central
497,1507,LAWRENCE PUR,LPR,RWP,North
498,1509,ADDA MACHIWAL,MCW,MUX,Central
499,1510,MADEJI,MDJ,SKZ,South
500,1511,More Eminabad,MEB,GUJ,North
501,1512,MINGORA,MGA,PEW,North
502,1514,LHE-CENTRAL,MLH,LHE,Central
503,1515,MIR ALI,MLL,PEW,North
504,1516,MIRAN SHAH,MNH,PEW,North
505,1517,Memon Goth,MOG,KHI,South
506,1518,Mor Kunda,MOK,FSD,Central
507,1519,Miro Khan,MRK,SKZ,South
508,1520,Mandi Shah,MSH,FSD,Central
509,1521,MADYAN,MYN,PEW,North
510,1522,Nagarparkar,NAP,HDD,South
511,1524,NILOR,NIL,RWP,North
512,1525,BARNALA A.K,NLA,GUJ,North
513,1526,NARANG MANDI,NMD,LHE,Central
514,1527,KHANPUR MAHER,NMR,SKZ,South
515,1528,Nooriabad,NUD,HDD,South
516,1529,OLE,OHD,HDD,South
517,1530,JHUDO,OJD,HDD,South
518,1532,Wando,OND,GUJ,North
519,1533,BOONI,ONI,PEW,North
520,1535,PANJGIRAN,PGN,FSD,Central
521,1536,PHLOR,PHR,FSD,Central
522,1537,PITHORO,PHT,HDD,South
523,1538,Pharianwala,PIL,GUJ,North
524,1539,Pooran,PON,PEW,North
525,1540,PIR JO GOTH,PRG,SKZ,South
526,1541,PAF BASE,PSA,SKZ,South
527,1543,PANYOLIA,PYA,RWP,North
528,1545,Sadhar,RAH,FSD,Central
529,1546,RWP - GEN HEAVY,RGH,RWP,North
530,1549,RODU SULTAN,RSN,FSD,Central
531,1550,Khuiratta,RTA,RWP,North
532,1551,RWP WARWHOUSE,RWW,RWW,North
533,1552,Bhan Saeedabad,SBD,HDD,South
534,1553,Sohbatpur,SBT,SKZ,South
535,1554,SIHALA,SLA,RWP,North
536,1555,SialMore,SMR,FSD,Central
537,1556,SANDHILIAN WALI,SND,FSD,Central
538,1557,SHAHPUR CHAKAR,SPC,HDD,South
539,1558,SARHAD,SRD,SKZ,South
540,1559,Sajanpur,SRP,SKZ,South
541,1560,Sensa,SSA,RWP,North
542,1561,Shah Saddar Din,SSD,MUX,Central
543,1562,TOOL PLAZA KHI,STP,KHI,South
544,1563,TEST,T,KHI,South
545,1564,THANA BULA KHAN,TBK,HDD,South
546,1565,36 CHOWK,TCC,FSD,Central
547,1566,THERHI,TER,SKZ,South
548,1567,Tail Wala,TEW,MUX,Central
549,1568,TRAG,TGA,FSD,Central
550,1569,TANDO JAN MOHD,TJH,HDD,South
551,1570,TRARKHEL,TKL,RWP,North
552,1571,MATTANI,TNM,PEW,North
553,1572,THAKOT,TOK,RWP,North
554,1573,TRANDHA M PANAH,TPM,SKZ,South
555,1574,Tor kham,TRM,PEW,North
556,1575,TRANDA SAWAI,TSW,SKZ,South
557,1577,TATLAY AALI,TTY,GUJ,North
558,1578,UCHALI,ULI,FSD,Central
559,1579,KUMB,UMB,SKZ,South
560,1580,Muhammad Pur,UMR,MUX,Central
561,1581,SORAB,URA,UET,South
562,1582,PHULARWN,UWU,FSD,Central
563,1583,CHONAWALA,WCA,MUX,Central
564,1584,WAGAN,WGN,SKZ,South
565,1585,WANA,WNA,FSD,Central
566,1588,NO STATION,XXX,,
567,1589,NAYA LAHORE,YAL,FSD,Central
568,1590,BOZDAR WADA,ZBD,SKZ,South
569,1591,ZIARAT,ZRT,UET,South
570,1592,MARGHUZ,ZUH,RWP,North
